ID,Postal code,Locality,Type,Subtype,Price ,Bedrooms,Living area,Kitchen Type,Furnished,How many fireplaces?,Terrace surface,Garden surface,Surface of the plot,Number of frontages,Swimming pool,Building condition,Surroundings type,Energy class,Construction year,Heating type,Primary energy consumption,Venue of the sale,Tenement building,New build,healthy_data
11134157,3700,Tongeren,House,,169000,4,165,,0,,19,360,442,3,,Good,Isolated,F,1930,Fuel oil,523,,0,0,
11134252,1700,Dilbeek,Villa,,469000,2,198,,,,6,455,571,4,,Just renovated,"Living area (residential, urban or rural)",D,1971,Fuel oil,304,,0,0,
11134745,1653,Beersel,House,Town-house,499000,3,160,,0,,25,360,1382,2,,Good,Isolated,F,1979,Fuel oil,665,,0,0,
11134170,4101,Seraing,House,Mixed-use-building,209900,3,200,,0,,,,510,2,,Just renovated,Urban,G,1850,Gas,514,,1,0,
11140956,9600,Ronse,House,Mixed-use-building,265000,2,234,,0,,27,,133,2,,As new,Urban,C,1930,Gas,281,,1,0,
11133752,9990,Maldegem,Villa,,624000,2,310,,0,,,,4153,4,,Good,Urban,C,1996,Gas,228,,0,0,
11140957,9660,Brakel,House,,349000,3,135,,0,,,667,1198,4,,Good,,C,1986,Gas,292,,0,0,
11146420,9600,Ronse,Villa,,249000,3,167,,0,,20,330,653,3,,To renovate,Isolated,F,1959,,695,,0,0,
11140536,1700,Dilbeek,Villa,,449000,4,130,,0,,15,60,433,4,,To renovate,"Living area (residential, urban or rural)",F,1962,Gas,853,,0,0,
11140919,9506,Geraardsbergen-grimminge,Villa,,699000,5,256,,0,,45,3661,3828,4,,As new,Urban,E,1958,Gas,410,,0,0,
11140920,9000,Gent,House,,550000,7,340,,0,,21,,151,2,,Good,Urban,B,1850,Gas,136,,0,0,
11130920,9600,Ronse,House,,249000,3,156,,0,,,350,555,3,,To be done up,"Living area (residential, urban or rural)",F,1953,Fuel oil,737,,0,0,
11130919,9600,Ronse,House,,265000,3,169,,0,,27,,100,2,,As new,"Living area (residential, urban or rural)",C,1946,Gas,251,,0,0,
11142295,1070,Anderlecht,House,,389000,6,235,,0,,,10,80,2,,To renovate,Urban,G,1940,Gas,461,,0,0,
11132583,4121,Neupre,House,,259000,3,167,,0,,20,500,601,3,,Good,Isolated,E,1964,Fuel oil,348,,0,0,
11146747,9220,Hamme,House,,257000,3,175,,,,,,392,3,,To be done up,Fitted out,F,1949,Gas,603,,0,0,
11146745,2550,Kontich,House,,265000,2,75,,,,,,,4,,Good,Fitted out,B,2008,Electric,152,,0,0,
11146741,3120,Tremelo,House,,275000,2,140,,,,,,1517,4,,To renovate,Fitted out,F,1950,Fuel oil,561,,0,0,
11146735,1570,Galmaarden,House,,365000,4,256,,0,,9,,532,4,,Good,Urban,C,1895,Gas,278,,0,0,
11146721,3740,Bilzen,Apartment,,225000,3,115,,,,,,,,,Good,Countryside,B,1992,,108,,0,0,
11124114,8420,De haan,Apartment,,189000,2,106,,0,,,,,2,,,,B,1977,Gas,160,,0,0,
11146690,6183,Courcelles trazegnies,House,,99000,3,147,,,,,,280,2,,To renovate,,F,1975,Gas,502,,0,0,
11146698,8800,Roeselare,House,,435000,4,195,,0,,35,450,668,4,,Good,"Living area (residential, urban or rural)",B,1999,Gas,175,,,0,
11146686,2930,Brasschaat,House,,845000,4,240,,,,,,615,4,,,,Not specified,2024,,Not specified,,0,1,
11146682,4537,Chapon-seraing,Villa,,645000,3,195,,0,,,,935,4,,,,B,1976,Fuel oil,269,,0,0,
11146679,2930,Brasschaat,Villa,,820000,4,254,,,,,,427,3,,,,Not specified,2024,,Not specified,,0,1,
11146685,2930,Brasschaat,Villa,,845000,4,240,,,,,,615,4,,,,Not specified,2024,,Not specified,,0,1,
11146678,2930,Brasschaat,House,,820000,4,254,,,,,,427,3,,,,Not specified,2024,,Not specified,,0,1,
11146683,7140,Morlanwelz,Appartment,Penthouse,349000,3,207,,0,,75,,,2,,,,D,1979,Gas,324,,0,0,
11146668,1050,Ixelles,House,,1000000,6,434,,0,,15,35,172,2,,Good,,G,1953,,482,,1,0,
11146667,1050,Ixelles,House,Mixed-use-building,999000,2,434,,0,,15,35,172,2,,Good,Urban,G,1953,,482,,1,0,
11137657,1000,Bruxelles,Appartment,Kot,216500,,24,,1,,,,,2,,As new,Urban,B,2022,Gas,50,,0,1,
11146666,2930,Brasschaat,Villa,,840000,4,229,,,,,,550,4,,,,Not specified,2024,,Not specified,,0,1,
11146663,2200,Herentals,Apartment,,175000,2,76,,0,,,,,2,,,,B,1972,Gas,143,,0,0,
11146665,2930,Brasschaat,House,,840000,4,229,,,,,,550,4,,,,Not specified,2024,,Not specified,,0,1,
11140941,7070,Le-roeulx,Apartment,,185000,1,68,,,,,,,,,Good,Urban,B,2014,Gas,115,,0,0,
11103715,1082,Berchem-sainte-agathe,Apartment,,245000,2,110,,,,13,,,4,,Good,"Living area (residential, urban or rural)",F,2008,Electric,345,,0,0,
11140816,1082,Berchem-sainte-agathe,Apartment,,275000,3,119,,,,9,,,4,,Good,"Living area (residential, urban or rural)",E,2008,Electric,231,,0,0,
11142762,1140,Evere,Apartment,,285000,1,63,,1,,4,,,2,,As new,,B,2013,Gas,52,,0,0,
11140817,1082,Berchem-sainte-agathe,Apartment,,290000,3,130,,,,,,,4,,Good,"Living area (residential, urban or rural)",D,2008,Electric,162,,0,0,
11143153,9000,Gent,Apartment,,359000,2,92,,,,18,,,2,,Good,,B,1968,Gas,118,,0,0,
11146749,8730,Beernem,Apartment,,259000,1,74,,,,17,,,,,Good,Fitted out,A,2021,Gas,65,,0,1,
11146748,9200,Dendermonde,House,,229900,2,90,,,,,,70,2,,Good,Fitted out,C,1920,,237,,0,0,
11146747,9220,Hamme,House,,257000,3,175,,,,,,392,3,,To be done up,Fitted out,F,1949,Gas,603,,0,0,
11146741,3120,Tremelo,House,,275000,2,140,,,,,,1517,4,,To renovate,Fitted out,F,1950,Fuel oil,561,,0,0,
11146735,1570,Galmaarden,House,,365000,4,256,,0,,9,,532,4,,Good,Urban,C,1895,Gas,278,,0,0,
11146745,2550,Kontich,House,,265000,2,75,,,,,,,4,,Good,Fitted out,B,2008,Electric,152,,0,0,
11146721,3740,Bilzen,Apartment,,225000,3,115,,,,,,,,,Good,Countryside,B,1992,,108,,0,0,
11146690,6183,Courcelles trazegnies,House,,99000,3,147,,,,,,280,2,,To renovate,,F,1975,Gas,502,,0,0,
11146698,8800,Roeselare,House,,435000,4,195,,0,,35,450,668,4,,Good,"Living area (residential, urban or rural)",B,1999,Gas,175,,,0,
11124114,8420,De haan,Apartment,,189000,2,106,,0,,,,,2,,,,B,1977,Gas,160,,0,0,
11146685,2930,Brasschaat,Villa,,845000,4,240,,,,,,615,4,,,,Not specified,2024,,Not specified,,0,1,
11146686,2930,Brasschaat,House,,845000,4,240,,,,,,615,4,,,,Not specified,2024,,Not specified,,0,1,
11146683,7140,Morlanwelz,Appartment,Penthouse,349000,3,207,,0,,75,,,2,,,,D,1979,Gas,324,,0,0,
11146682,4537,Chapon-seraing,Villa,,645000,3,195,,0,,,,935,4,,,,B,1976,Fuel oil,269,,0,0,
11146666,2930,Brasschaat,Villa,,840000,4,229,,,,,,550,4,,,,Not specified,2024,,Not specified,,0,1,
11146668,1050,Ixelles,House,,1000000,6,434,,0,,15,35,172,2,,Good,,G,1953,,482,,1,0,
11146679,2930,Brasschaat,Villa,,820000,4,254,,,,,,427,3,,,,Not specified,2024,,Not specified,,0,1,
11146667,1050,Ixelles,House,Mixed-use-building,999000,2,434,,0,,15,35,172,2,,Good,Urban,G,1953,,482,,1,0,
11146678,2930,Brasschaat,House,,820000,4,254,,,,,,427,3,,,,Not specified,2024,,Not specified,,0,1,
11140881,9890,Gavere,Apartment,,269700,1,76,,0,,11,,,4,,As new,Urban,A,2021,Gas,1,,0,1,
11140887,9890,Gavere,Apartment,,373650,2,126,,0,,11,,,4,,As new,Urban,A,2021,Gas,1,,0,1,
11140879,9890,Gavere,Apartment,,377150,3,126,,0,,11,,,4,,As new,Urban,A,2021,Gas,1,,0,1,
11140883,9890,Gavere,Appartment,Duplex,438875,3,146,,0,,11,,,4,,As new,Urban,A,2021,Gas,1,,0,1,
11140877,9890,Gavere,Apartment,,419760,2,165,,0,,11,,,4,,As new,Urban,A,2021,Gas,1,,0,1,
11140880,9890,Gavere,Apartment,,275450,1,76,,0,,11,,,4,,As new,Urban,A,2021,Gas,1,,0,1,
11140882,9890,Gavere,Appartment,Duplex,442375,3,148,,0,,11,,,4,,As new,Urban,A,2021,Gas,1,,0,1,
11146191,1150,Woluwe-saint-pierre,Apartment,,635000,2,114,,0,,4,,,2,,As new,Urban,D,1912,Gas,192,,0,0,
11146421,9600,Ronse,Apartment,,129000,1,68,,0,,,,,2,,To be done up,Urban,B,1950,Gas,175,,0,0,
11146192,1200,Woluwe-saint-lambert,Apartment,,635000,2,114,,0,,4,,,2,,As new,Urban,D,1912,Gas,192,,0,0,
11144586,1030,Schaerbeek,Flat-studio,,165000,,31,,1,,1,,,2,,Good,,E,1998,Electric,247,,0,0,
11143793,1140,Evere,Apartment,,240000,1,45,,1,,,,,2,,As new,,B,2013,Gas,69,,0,0,
11144814,9000,Gent,Apartment,,325000,1,76,,,,,,,2,,Good,"Living area (residential, urban or rural)",D,1920,Gas,314,,0,0,
11144379,1050,Ixelles,Apartment,,449000,2,95,,0,,4,,,2,,To be done up,Urban,C,2003,Gas,110,,0,0,
11146879,2660,Hoboken,House,,539000,3,144,,,,,175,486,4,,Just renovated,,C,1977,,272,,0,0,
11146850,2660,Hoboken,House,,260000,2,118,,,,,,73,2,,Good,,C,1934,Gas,243,,0,0,
11146831,1090,Jette,House,Apartment-block,685000,25,,,,,,,700,2,,,,Not specified,1950,Fuel oil,Not specified,,1,0,
11146827,1932,Sint-stevens-woluwe,Apartment,,299000,2,92,,,,8,,,2,,Good,Fitted out,C,1990,,217,,0,0,
10780193,7190,Ecaussinnes,Apartment,,240000,2,,,0,,10,150,,4,,Good,"Living area (residential, urban or rural)",B,2009,Gas,105,,0,0,
11146823,1325,Chaumont,House,,350000,3,170,,,,,,938,4,,To renovate,,E,1890,Fuel oil,387,,0,0,
11059702,2230,Herselt,House,,255000,3,145,,0,,,,721,4,,,,F,1973,Fuel oil,516,,0,0,
11146817,8550,Zwevegem,Apartment,,170500,1,73,,0,,8,,,2,,Good,,Not specified,2024,Gas,Not specified,,0,1,
11146779,5555,Graide,House,,159000,3,143,,,,,,120,3,,Good,,C,1970,Fuel oil,209,,0,0,
11146769,1930,Zaventem,House,,489000,3,193,,,,1,110,228,2,,Just renovated,"Living area (residential, urban or rural)",B,1961,Gas,162,,0,0,
11146773,8370,Blankenberge,Apartment,,279000,2,92,,0,,4,,,2,,Good,Urban,B,2002,,117,,0,0,
11146768,5101,Loyers,House,,419000,4,155,,0,,60,,1428,4,,As new,,B,2015,,113,,0,0,
11146766,2018,Antwerpen,Manor-house,,565000,4,158,,0,,,,106,2,,,,D,1918,Gas,397,,0,0,
11146765,8700,Tielt,House,,449000,3,195,,0,,,,909,4,,,,D,1979,Gas,366,,0,0,
11146750,9100,Sint-niklaas,House,,449000,4,240,,,,,,1070,,,,,D,1933,Gas,375,,0,0,
11146761,1190,Forest,Appartment,Ground-floor,295000,2,95,,0,,15,,,2,,,,F,1975,Gas,317,,0,0,
